time,corrected_accel,corrected_disp,corrected_vel
1.465,11.215425633526,-3.9511103349991,5.3852386026773
1.47,11.110608571531,-3.9240447352932,5.4410536881899
1.475,11.005791509535,-3.8967013703731,5.4963446883926
1.48,10.90097444754,-3.8690828606652,5.5511116032853
1.485,10.796157385544,-3.8411918265962,5.605354432868
1.49,10.691340323548,-3.8130308885925,5.6590731771407
1.495,10.586523261553,-3.7846026670807,5.7122678361035
1.5,10.481706199557,-3.7559097824874,5.7649384097562
1.505,10.376889137562,-3.7269548552391,5.817084898099
1.51,10.272072075566,-3.6977405057623,5.8687073011319
1.515,10.167255013571,-3.6682693544837,5.9198056188547
1.52,10.062437951575,-3.6385440218297,5.9703798512676
1.525,9.9576208895795,-3.6085671282269,6.0204299983704
1.53,9.8528038275838,-3.5783412941019,6.0699560601634
1.535,9.7479867655883,-3.5478691398812,6.1189580366463
1.54,9.6431697035927,-3.5171532859914,6.1674359278192
1.545,9.5383526415971,-3.486196352859,6.2153897336822
1.55,9.4335355796016,-3.4550009609105,6.2628194542352
1.555,9.328718517606,-3.4235697305726,6.3097250894782
1.56,9.2239014556105,-3.3919052822717,6.3561066394113
1.565,9.1190843936149,-3.3600102364344,6.4019641040343
1.57,9.0142673316193,-3.3278872134873,6.4472974833474
1.575,8.9094502696237,-3.2955388338568,6.4921067773505
1.58,8.8046332076282,-3.2629677179697,6.5363919860436
1.585,8.6998161456326,-3.2301764862523,6.5801531094268
1.59,8.5949990836371,-3.1971677591313,6.6233901475
1.595,8.4901820216415,-3.1639441570333,6.6661031002632
1.6,8.3853649596459,-3.1305083003846,6.7082919677164
1.605,8.2805478976504,-3.096862809612,6.7499567498596
1.61,8.1757308356547,-3.063010305142,6.7910974466929
1.615,8.0709137736592,-3.028953407401,6.8317140582162
1.62,7.9660967116636,-2.9946947368157,6.8718065844295
1.625,7.8612796496681,-2.9602369138127,6.9113750253328
1.63,7.7564625876725,-2.9255825588184,6.9504193809262
1.635,7.651645525677,-2.8907342922593,6.9889396512095
1.64,7.5468284636814,-2.8556947345622,7.0269358361829
1.645,7.4420114016857,-2.8204665061534,7.0644079358463
1.65,7.3371943396902,-2.7850522274596,7.1013559501998
1.655,7.2323772776946,-2.7494545189074,7.1377798792432
1.66,7.1275602156991,-2.7136760009231,7.1736797229767
1.665,7.0227431537035,-2.6777192939335,7.2090554814002
1.67,6.917926091708,-2.6415870183651,7.2439071545138
1.675,6.8131090297124,-2.6052817946443,7.2782347423173
1.68,6.7082919677169,-2.5688062431978,7.3120382448109
1.685,6.6034749057212,-2.5321629844522,7.3453176619945
1.69,6.4986578437256,-2.4953546388338,7.3780729938681
1.695,6.3938407817301,-2.4583838267694,7.4103042404317
1.7,6.2890237197345,-2.4212531686854,7.4420114016854
1.705,6.184206657739,-2.3839652850085,7.4731944776291
1.71,6.0793895957434,-2.3465227961651,7.5038534682628
1.715,5.9745725337478,-2.3089283225818,7.5339883735865
1.72,5.8697554717523,-2.2711844846852,7.5635991936003
1.725,5.7649384097567,-2.2332939029017,7.592685928304
1.73,5.6601213477611,-2.1952591976581,7.6212485776978
