time,acceleration,velocity,displacement
2.49500,-0.00001,0.00581,0.00791
2.50000,-0.00001,0.00575,0.00794
2.50500,0.00000,0.00571,0.00797
2.51000,0.00000,0.00570,0.00800
2.51500,0.00002,0.00574,0.00803
2.52000,0.00002,0.00584,0.00806
2.52500,0.00002,0.00594,0.00809
2.53000,0.00000,0.00598,0.00812
2.53500,-0.00002,0.00592,0.00815
2.54000,-0.00003,0.00579,0.00817
2.54500,-0.00001,0.00570,0.00820
2.55000,-0.00001,0.00565,0.00823
2.55500,-0.00001,0.00560,0.00826
2.56000,-0.00001,0.00555,0.00829
2.56500,-0.00001,0.00550,0.00832
2.57000,-0.00001,0.00545,0.00834
2.57500,-0.00003,0.00536,0.00837
2.58000,-0.00002,0.00523,0.00840
2.58500,-0.00001,0.00515,0.00842
2.59000,-0.00001,0.00510,0.00845
2.59500,-0.00001,0.00505,0.00847
2.60000,0.00002,0.00506,0.00850
2.60500,0.00000,0.00511,0.00852
2.61000,0.00001,0.00514,0.00855
2.61500,0.00002,0.00521,0.00858
2.62000,0.00001,0.00530,0.00860
2.62500,0.00002,0.00539,0.00863
2.63000,0.00003,0.00551,0.00866
2.63500,0.00002,0.00563,0.00868
2.64000,0.00001,0.00571,0.00871
2.64500,0.00001,0.00576,0.00874
2.65000,0.00001,0.00580,0.00877
2.65500,0.00000,0.00581,0.00880
2.66000,0.00001,0.00583,0.00883
2.66500,-0.00001,0.00584,0.00886
2.67000,0.00000,0.00583,0.00889
2.67500,0.00001,0.00586,0.00891
2.68000,0.00000,0.00588,0.00894
2.68500,0.00000,0.00587,0.00897
2.69000,0.00000,0.00586,0.00900
2.69500,0.00000,0.00585,0.00903
2.70000,0.00001,0.00586,0.00906
2.70500,0.00002,0.00594,0.00909
2.71000,0.00002,0.00603,0.00912
2.71500,0.00000,0.00607,0.00915
2.72000,-0.00001,0.00604,0.00918
2.72500,-0.00002,0.00599,0.00921
2.73000,-0.00002,0.00590,0.00924
2.73500,-0.00002,0.00581,0.00927
